                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2351,                 4.2355,                 2.4814,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0721,                 0.0031,                 0.0031
                      2,                  2.403,                 2.8827,                 2.6872,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.043238,              0.0062376,              0.0062376
                      3,                 2.2978,                 2.8681,                 2.6351,                0.00011,                0.00568,                  6e-05,                  1e-05,                    nan,                    nan,                    nan,               0.014312,              0.0093119,              0.0093119
                      4,                 2.1574,                 2.8013,                 2.5164,                0.02224,                0.07955,                0.00509,                0.00162,                  3.788,                 4.9991,                 11.623,               0.009703,               0.009703,               0.009703
                      5,                 2.1075,                  2.757,                 2.5027,                0.03438,                0.33523,                0.03298,                0.00863,                 2.3051,                 4.6055,                 3.6322,               0.009703,               0.009703,               0.009703
                      6,                  2.049,                 2.7206,                 2.4729,                0.01331,                0.52841,                0.01233,                0.00335,                 2.8445,                 7.4135,                 5.4348,               0.009604,               0.009604,               0.009604
                      7,                 2.0538,                 2.7018,                 2.4274,                0.01671,                0.35227,                0.01362,                0.00366,                 2.6082,                 5.0128,                 3.5469,               0.009505,               0.009505,               0.009505
                      8,                  1.996,                  2.713,                  2.409,                0.03021,                0.27841,                0.02348,                0.00536,                 2.7082,                  4.532,                 3.5294,               0.009406,               0.009406,               0.009406
                      9,                  2.014,                 2.5325,                 2.3506,                0.04859,                0.54545,                 0.0454,                0.01204,                 2.2787,                 4.1428,                 3.2462,               0.009307,               0.009307,               0.009307
                     10,                  2.021,                 2.5082,                 2.3558,                0.07588,                0.19886,                0.05109,                0.01564,                 2.2143,                 3.1999,                 3.1075,               0.009208,               0.009208,               0.009208
                     11,                  1.937,                 2.4477,                  2.279,                0.01388,                0.71023,                0.01834,                0.00506,                 2.3768,                 3.3963,                 3.3189,               0.009109,               0.009109,               0.009109
                     12,                 1.9509,                 2.4474,                 2.3159,                0.07734,                0.47727,                0.06959,                0.01913,                 2.2028,                 3.2438,                 3.2064,                0.00901,                0.00901,                0.00901
                     13,                 1.9291,                 2.4042,                 2.2889,                0.10625,                0.27841,                0.08409,                0.02651,                 2.1417,                 2.7794,                 2.9967,               0.008911,               0.008911,               0.008911
                     14,                 1.9036,                 2.3153,                 2.2247,                0.16338,                0.26186,                0.13334,                0.04021,                 2.1662,                  2.608,                 2.9313,               0.008812,               0.008812,               0.008812
                     15,                 1.8159,                 2.2268,                 2.1568,                0.13846,                0.30682,                0.10507,                0.03112,                 2.1815,                 2.6672,                 2.9929,               0.008713,               0.008713,               0.008713
                     16,                 1.7922,                 2.1333,                 2.1117,                0.09565,                0.27273,                0.06078,                0.01676,                  2.458,                 3.0139,                 3.2386,               0.008614,               0.008614,               0.008614
                     17,                 1.7647,                 2.0356,                   2.08,                0.15189,                0.30114,                0.10838,                0.03127,                 2.4192,                  3.277,                 3.6811,               0.008515,               0.008515,               0.008515
                     18,                 1.7758,                 2.0955,                 2.1187,                0.16976,                0.34091,                0.11802,                0.03044,                 2.3992,                 3.2345,                 3.4289,               0.008416,               0.008416,               0.008416
                     19,                 1.6742,                 2.0455,                 2.0319,                0.05132,                0.20455,                0.03472,                0.00883,                 2.7042,                 4.1267,                 3.6583,               0.008317,               0.008317,               0.008317
                     20,                 1.6355,                 1.9179,                 2.0037,                0.18793,                  0.375,                 0.1544,                  0.051,                 2.1247,                 2.5073,                 2.9724,               0.008218,               0.008218,               0.008218
                     21,                  1.646,                 1.9551,                 2.0091,                0.01127,                0.06818,                0.00808,                0.00207,                 2.8214,                  3.735,                 3.5361,               0.008119,               0.008119,               0.008119
                     22,                 1.6127,                 1.8983,                 1.9604,                0.17482,                0.02841,                0.02974,                0.00989,                  2.796,                 3.7514,                 3.5862,                0.00802,                0.00802,                0.00802
                     23,                 1.6029,                 1.8537,                 1.9438,                0.09095,                0.38068,                0.06059,                0.01838,                 2.5059,                 3.2238,                 3.3617,               0.007921,               0.007921,               0.007921
                     24,                 1.5717,                 1.8471,                  1.937,                0.09695,                0.25568,                0.05773,                0.01383,                 2.7044,                 3.4809,                 3.6734,               0.007822,               0.007822,               0.007822
                     25,                 1.4665,                 1.7873,                 1.8389,                0.13475,                0.38402,                0.10526,                0.02827,                 2.4085,                 2.7252,                  3.504,               0.007723,               0.007723,               0.007723
                     26,                 1.4534,                 1.7396,                 1.8379,                0.14256,                0.27841,                0.12997,                0.03578,                 2.5147,                 2.6913,                 3.5218,               0.007624,               0.007624,               0.007624
                     27,                  1.468,                 1.7477,                 1.8523,                0.25034,                0.32445,                0.20006,                0.05884,                 2.3915,                 2.6162,                 3.1988,               0.007525,               0.007525,               0.007525
                     28,                 1.3724,                 1.6333,                 1.7796,                0.13481,                0.23462,                0.10472,                 0.0253,                 2.6633,                  2.857,                 3.6998,               0.007426,               0.007426,               0.007426
                     29,                 1.3653,                 1.5829,                 1.7756,                0.16916,                0.31582,                0.11769,                0.03244,                 2.6497,                 3.1256,                 3.9156,               0.007327,               0.007327,               0.007327
                     30,                 1.3587,                  1.542,                  1.742,                0.20731,                0.27273,                0.13426,                0.03184,                 2.5303,                 2.9638,                 3.3304,               0.007228,               0.007228,               0.007228
                     31,                 1.3122,                 1.5547,                  1.728,                0.16701,                0.29545,                0.13065,                0.02958,                 2.6538,                 2.8459,                 3.5183,               0.007129,               0.007129,               0.007129
                     32,                 1.3091,                 1.5233,                 1.7109,                0.32095,                0.38068,                0.27049,                0.08011,                 2.2958,                 2.3752,                 3.2204,                0.00703,                0.00703,                0.00703
