                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2314,                 1.7339,                 1.6701,                0.38703,                0.47115,                0.36412,                0.12416,                 1.9043,                 2.3326,                 2.8678,               0.067375,             0.00032955,             0.00032955
                      2,                0.99473,                 1.2046,                 1.4623,                0.63886,                0.46776,                 0.5125,                0.17248,                 2.1928,                 2.0392,                 3.3905,               0.034368,             0.00065625,             0.00065625
                      3,                0.92301,                 1.1019,                 1.4152,                0.38368,                0.43997,                0.34079,                0.10579,                 2.3272,                 2.3006,                 3.1648,              0.0013551,              0.0009763,              0.0009763
                      4,                0.84312,                 1.0196,                 1.3338,                0.53259,                0.50481,                0.50641,                 0.1882,                 2.0451,                 1.8581,                 2.8029,             0.00097001,             0.00097001,             0.00097001
                      5,                 0.7592,                0.92294,                 1.2934,                0.68843,                0.64423,                0.65959,                0.26269,                 1.9281,                 1.5694,                  2.773,             0.00097001,             0.00097001,             0.00097001
                      6,                0.77203,                0.89237,                 1.2914,                0.62007,                0.61058,                0.58604,                0.23037,                  2.048,                  1.812,                 2.9632,             0.00096002,             0.00096002,             0.00096002
                      7,                0.74754,                0.86715,                 1.2925,                  0.718,                0.68549,                0.67406,                0.25532,                 2.1001,                 1.6692,                 2.9447,             0.00095003,             0.00095003,             0.00095003
                      8,                0.66352,                0.77464,                 1.2213,                0.74406,                0.67308,                0.74951,                0.33475,                  1.763,                 1.3914,                 2.5014,             0.00094003,             0.00094003,             0.00094003
                      9,                0.69935,                 0.8057,                 1.2407,                0.75173,                0.77151,                0.76389,                0.31869,                 1.9144,                 1.3711,                 2.8401,             0.00093003,             0.00093003,             0.00093003
                     10,                0.65269,                0.75809,                 1.2211,                0.72585,                 0.6492,                0.67815,                0.29328,                 1.9918,                  1.498,                 2.8465,             0.00092004,             0.00092004,             0.00092004
                     11,                0.66237,                0.75953,                 1.2332,                0.68721,                0.67602,                0.68904,                0.29408,                 1.9114,                 1.4885,                 2.7487,             0.00091005,             0.00091005,             0.00091005
                     12,                0.63439,                0.72648,                 1.2045,                0.70223,                0.70673,                0.70409,                0.30788,                 1.7449,                 1.4889,                 2.4716,             0.00090005,             0.00090005,             0.00090005
                     13,                0.67501,                0.75866,                 1.2267,                0.70745,                0.63945,                 0.6709,                0.27839,                 1.9889,                 1.5629,                 2.6784,             0.00089006,             0.00089006,             0.00089006
                     14,                0.61322,                0.70265,                 1.1885,                0.72933,                0.71154,                0.71756,                0.30769,                 1.8245,                 1.5118,                 2.7962,             0.00088006,             0.00088006,             0.00088006
                     15,                0.62082,                0.70754,                 1.1909,                 0.7137,                0.67788,                0.70826,                0.29832,                 1.8552,                 1.4003,                 2.7232,             0.00087006,             0.00087006,             0.00087006
                     16,                0.59863,                  0.684,                 1.1763,                0.69934,                0.62981,                  0.647,                0.29839,                 1.8613,                 1.5053,                 2.8265,             0.00086007,             0.00086007,             0.00086007
                     17,                0.57762,                0.67459,                 1.1523,                0.76044,                0.69231,                0.71729,                0.32076,                 1.8358,                 1.4126,                 2.6961,             0.00085008,             0.00085008,             0.00085008
                     18,                0.56399,                0.65518,                 1.1606,                0.68002,                0.63348,                0.61215,                0.24396,                 2.0012,                 1.4796,                 3.0147,             0.00084008,             0.00084008,             0.00084008
                     19,                0.57348,                0.63386,                 1.1476,                0.75444,                0.67308,                0.67952,                0.25062,                 2.1246,                  1.671,                 3.2143,             0.00083008,             0.00083008,             0.00083008
                     20,                0.54072,                0.63844,                  1.125,                0.79097,                0.65865,                0.73779,                 0.3563,                 1.6911,                 1.3194,                 2.4089,             0.00082009,             0.00082009,             0.00082009
                     21,                0.58212,                0.64417,                 1.1585,                0.85041,                0.62981,                0.72294,                0.36609,                 1.8061,                 1.2899,                 2.6021,              0.0008101,              0.0008101,              0.0008101
                     22,                 0.5628,                0.63497,                 1.1413,                0.74037,                0.67178,                0.71658,                  0.305,                 1.9457,                 1.3415,                 2.8187,              0.0008001,              0.0008001,              0.0008001
                     23,                0.54391,                0.60688,                 1.1263,                0.74089,                0.70192,                0.73506,                0.32273,                  1.815,                 1.4236,                 2.5179,             0.00079011,             0.00079011,             0.00079011
                     24,                0.54628,                0.60835,                  1.131,                0.77938,                0.74038,                0.76802,                0.37465,                 1.7073,                 1.2539,                 2.5861,             0.00078011,             0.00078011,             0.00078011
                     25,                0.54559,                0.61248,                 1.1428,                0.68261,                0.73077,                0.70104,                0.32566,                  1.681,                 1.3305,                 2.3864,             0.00077012,             0.00077012,             0.00077012
                     26,                0.51797,                0.58305,                 1.1192,                 0.7841,                0.75962,                0.74967,                0.34393,                 1.7415,                 1.2795,                 2.5408,             0.00076012,             0.00076012,             0.00076012
                     27,                0.53014,                0.57007,                 1.1111,                0.74188,                0.67308,                0.70724,                0.32936,                  1.778,                 1.3934,                 2.5836,             0.00075012,             0.00075012,             0.00075012
                     28,                 0.5443,                0.58982,                 1.1302,                0.75926,                0.68234,                0.71414,                0.34573,                 1.7719,                 1.2625,                 2.4966,             0.00074013,             0.00074013,             0.00074013
                     29,                0.52563,                 0.5787,                 1.1266,                0.67511,                0.70673,                0.76865,                0.33567,                 1.8524,                 1.2642,                 2.5358,             0.00073014,             0.00073014,             0.00073014
                     30,                0.51781,                0.56612,                  1.115,                0.70461,                0.77404,                0.78515,                0.39079,                 1.6657,                 1.2362,                 2.3418,             0.00072014,             0.00072014,             0.00072014
                     31,                0.49793,                0.54152,                 1.0942,                0.72739,                0.75687,                0.77043,                0.38929,                 1.6392,                 1.1722,                 2.3419,             0.00071014,             0.00071014,             0.00071014
                     32,                 0.4802,                0.52983,                 1.0869,                0.71045,                0.63462,                0.72015,                0.35607,                 1.6815,                 1.3225,                 2.3603,             0.00070015,             0.00070015,             0.00070015
                     33,                0.50011,                0.52588,                 1.0949,                 0.6841,                0.77404,                0.72892,                0.34247,                 1.8144,                 1.2681,                 2.6393,             0.00069016,             0.00069016,             0.00069016
                     34,                0.49796,                0.53462,                 1.1011,                 0.7256,                0.75007,                0.75332,                0.36473,                 1.7249,                 1.2316,                 2.5295,             0.00068016,             0.00068016,             0.00068016
                     35,                0.48127,                 0.5278,                 1.0921,                0.80169,                0.69971,                 0.7837,                0.39621,                 1.6534,                 1.2455,                 2.3233,             0.00067016,             0.00067016,             0.00067016
                     36,                0.49297,                0.51894,                 1.0922,                0.69999,                0.62818,                0.67176,                0.33111,                 1.6529,                 1.3791,                 2.3682,             0.00066017,             0.00066017,             0.00066017
                     37,                0.47419,                0.52986,                 1.0903,                0.75646,                0.70673,                0.75043,                0.37953,                 1.6516,                 1.2472,                 2.3301,             0.00065018,             0.00065018,             0.00065018
                     38,                0.47089,                0.49913,                 1.0791,                0.84248,                 0.6875,                0.75786,                0.38868,                 1.6865,                 1.3211,                 2.4668,             0.00064018,             0.00064018,             0.00064018
                     39,                0.43546,                0.50695,                 1.0555,                0.76623,                0.75962,                0.77712,                0.40469,                 1.6325,                 1.2318,                 2.4804,             0.00063019,             0.00063019,             0.00063019
                     40,                0.46184,                0.54039,                 1.0775,                0.73354,                0.76442,                0.74945,                 0.3705,                 1.7045,                 1.2574,                  2.499,             0.00062019,             0.00062019,             0.00062019
                     41,                0.45822,                0.50805,                  1.073,                0.71237,                0.76205,                0.75405,                0.35454,                    1.8,                 1.3033,                 2.6748,             0.00061019,             0.00061019,             0.00061019
                     42,                0.47304,                0.51071,                 1.0842,                0.80774,                0.72716,                  0.773,                0.38826,                  1.742,                  1.207,                 2.4574,              0.0006002,              0.0006002,              0.0006002
                     43,                0.45108,                0.48837,                 1.0586,                0.80445,                0.76923,                0.81475,                0.40404,                 1.7298,                 1.1189,                 2.4692,             0.00059021,             0.00059021,             0.00059021
                     44,                0.42924,                0.46254,                 1.0601,                0.78887,                0.75481,                0.75378,                0.36628,                 1.7707,                 1.3175,                 2.6972,             0.00058021,             0.00058021,             0.00058021
                     45,                0.41193,                0.45328,                 1.0384,                0.81135,                0.71154,                0.76414,                0.40495,                 1.6809,                 1.1834,                 2.4381,             0.00057022,             0.00057022,             0.00057022
                     46,                0.43614,                0.46227,                 1.0691,                0.78923,                0.72011,                0.74042,                0.38563,                 1.6923,                  1.129,                 2.4826,             0.00056022,             0.00056022,             0.00056022
                     47,                0.42659,                0.45899,                 1.0497,                0.80747,                0.71635,                0.72934,                0.37806,                 1.6258,                 1.2311,                 2.3976,             0.00055022,             0.00055022,             0.00055022
                     48,                0.42902,                0.46219,                 1.0594,                0.75134,                0.70673,                0.73609,                0.36886,                 1.7333,                 1.2593,                 2.5669,             0.00054023,             0.00054023,             0.00054023
                     49,                0.41041,                0.44234,                 1.0394,                0.76962,                0.77092,                0.80225,                 0.4251,                 1.6577,                 1.1043,                 2.4472,             0.00053023,             0.00053023,             0.00053023
                     50,                0.41685,                0.45521,                 1.0428,                0.73681,                0.76442,                0.80174,                0.43341,                  1.619,                 1.0736,                 2.3105,             0.00052024,             0.00052024,             0.00052024
                     51,                0.40486,                  0.445,                 1.0362,                0.84199,                 0.6917,                0.82994,                0.44967,                 1.6309,                 1.0823,                 2.3847,             0.00051024,             0.00051024,             0.00051024
                     52,                0.38674,                0.43652,                 1.0292,                0.75157,                0.74519,                0.77853,                0.42165,                 1.6633,                 1.1185,                 2.4151,             0.00050025,             0.00050025,             0.00050025
                     53,                0.40639,                0.43907,                 1.0366,                0.82927,                0.73558,                0.80609,                0.45526,                 1.5649,                 1.0816,                 2.3352,             0.00049025,             0.00049025,             0.00049025
                     54,                0.39562,                0.43385,                 1.0309,                0.78653,                0.71154,                0.78627,                0.43433,                 1.6164,                 1.1499,                   2.29,             0.00048026,             0.00048026,             0.00048026
                     55,                0.38849,                0.42331,                 1.0177,                0.80053,                0.71635,                0.76128,                0.39288,                 1.6714,                 1.1655,                  2.514,             0.00047026,             0.00047026,             0.00047026
                     56,                0.37558,                 0.3883,                  1.011,                0.81818,                0.73557,                0.78109,                0.39777,                 1.6572,                 1.1809,                 2.3612,             0.00046027,             0.00046027,             0.00046027
                     57,                 0.4029,                0.44777,                  1.039,                0.76966,                0.75962,                0.81059,                0.45491,                 1.5282,                  1.035,                 2.2424,             0.00045027,             0.00045027,             0.00045027
                     58,                0.36732,                0.39102,                 1.0115,                0.86383,                0.73196,                0.83289,                0.47899,                 1.4649,                 1.0384,                 2.1914,             0.00044028,             0.00044028,             0.00044028
                     59,                0.35675,                0.40693,                 1.0086,                 0.8011,                0.81327,                0.82202,                0.44078,                 1.6047,                 1.0137,                 2.4023,             0.00043029,             0.00043029,             0.00043029
                     60,                0.36155,                0.39394,                 1.0161,                0.84762,                0.74038,                0.80478,                0.41059,                 1.6649,                 1.1639,                  2.439,             0.00042029,             0.00042029,             0.00042029
                     61,                0.37294,                0.39854,                 1.0149,                0.75105,                0.79774,                0.80735,                0.44295,                 1.5437,                  1.056,                 2.2875,              0.0004103,              0.0004103,              0.0004103
                     62,                0.35776,                0.38456,                 1.0017,                0.78021,                0.83625,                0.83929,                0.47491,                  1.509,                0.99312,                 2.2603,              0.0004003,              0.0004003,              0.0004003
                     63,                0.35465,                0.38315,                 1.0042,                0.83291,                0.71154,                0.81684,                0.45131,                 1.5836,                 1.1098,                 2.3661,             0.00039031,             0.00039031,             0.00039031
                     64,                0.34658,                0.38556,                 1.0079,                0.80085,                0.77336,                0.79615,                0.41607,                 1.6721,                 1.1289,                 2.4743,             0.00038031,             0.00038031,             0.00038031
                     65,                0.35106,                0.40808,                0.99828,                0.84324,                0.75481,                0.82524,                0.46461,                 1.5355,                 1.0428,                 2.3094,             0.00037032,             0.00037032,             0.00037032
                     66,                0.36811,                0.40668,                 1.0089,                0.83454,                0.75481,                0.83673,                0.48021,                 1.4937,                 1.0292,                  2.252,             0.00036032,             0.00036032,             0.00036032
                     67,                 0.3451,                0.38922,                 1.0099,                0.78982,                0.75882,                0.79002,                  0.418,                 1.6869,                 1.1195,                 2.5301,             0.00035033,             0.00035033,             0.00035033
                     68,                0.35255,                0.37644,                 1.0057,                0.77398,                0.75962,                0.77718,                0.44228,                 1.5746,                 1.0695,                 2.3182,             0.00034033,             0.00034033,             0.00034033
                     69,                 0.3407,                0.37236,                0.98731,                 0.8009,                0.71558,                0.76572,                0.42244,                 1.5832,                 1.1397,                 2.3843,             0.00033034,             0.00033034,             0.00033034
                     70,                0.34197,                0.38484,                0.98552,                 0.7845,                0.80511,                0.81516,                0.45846,                 1.5256,                 1.0344,                 2.3136,             0.00032034,             0.00032034,             0.00032034
                     71,                0.34043,                0.35979,                 1.0055,                 0.7944,                0.78846,                0.80577,                0.43536,                 1.6641,                  1.096,                 2.5005,             0.00031035,             0.00031035,             0.00031035
                     72,                0.32658,                0.35123,                 0.9935,                0.77829,                0.81731,                0.79313,                0.44327,                 1.5492,                 1.0692,                 2.3361,             0.00030035,             0.00030035,             0.00030035
                     73,                0.33211,                0.36522,                0.99872,                0.81162,                0.77885,                0.79968,                0.44888,                 1.5172,                 1.0663,                 2.3168,             0.00029036,             0.00029036,             0.00029036
                     74,                 0.3368,                0.39167,                 1.0003,                0.78078,                0.80288,                0.81925,                0.47115,                 1.4483,                0.99101,                 2.1986,             0.00028036,             0.00028036,             0.00028036
                     75,                0.32277,                0.34567,                0.99157,                0.81876,                0.82534,                0.82798,                0.48889,                 1.4122,                0.97294,                 2.1785,             0.00027037,             0.00027037,             0.00027037
                     76,                0.30154,                0.33692,                0.98428,                0.76514,                0.78314,                0.78202,                0.43677,                 1.5603,                 1.0942,                 2.3649,             0.00026037,             0.00026037,             0.00026037
                     77,                0.32476,                0.36461,                0.99527,                0.76109,                0.78846,                0.81324,                 0.4729,                 1.5272,                 1.0453,                 2.3089,             0.00025038,             0.00025038,             0.00025038
                     78,                0.32228,                0.34466,                0.98297,                0.78641,                0.76117,                 0.8041,                0.48429,                 1.4534,                0.98941,                 2.1673,             0.00024038,             0.00024038,             0.00024038
                     79,                0.31962,                0.35411,                0.98435,                0.81884,                0.78846,                0.82729,                0.49511,                 1.4185,                 1.0315,                 2.1489,             0.00023039,             0.00023039,             0.00023039
                     80,                0.31438,                0.34649,                0.97144,                0.76543,                0.78846,                0.79171,                0.46357,                  1.516,                 1.1127,                 2.3028,             0.00022039,             0.00022039,             0.00022039
                     81,                0.30948,                0.34928,                0.97817,                0.81314,                 0.7113,                0.77388,                0.45839,                   1.56,                 1.1129,                 2.3499,             0.00021039,             0.00021039,             0.00021039
                     82,                0.30283,                0.31713,                0.96993,                0.76959,                0.78365,                0.78905,                 0.4823,                 1.4537,                   1.09,                 2.2231,              0.0002004,              0.0002004,              0.0002004
                     83,                0.29076,                0.32492,                0.96637,                0.79653,                0.72596,                0.78347,                0.44503,                 1.5347,                 1.1546,                 2.3061,              0.0001904,              0.0001904,              0.0001904
                     84,                 0.2846,                0.32427,                0.97076,                0.76448,                0.78846,                0.78955,                0.46042,                 1.5299,                 1.0794,                 2.2772,             0.00018041,             0.00018041,             0.00018041
                     85,                0.29302,                0.33289,                0.97108,                0.79216,                0.80626,                0.81024,                 0.4708,                 1.5392,                 1.0313,                 2.3249,             0.00017042,             0.00017042,             0.00017042
                     86,                0.28842,                0.32284,                0.96781,                0.79583,                0.78708,                0.80459,                0.47976,                 1.5054,                 1.0306,                 2.2441,             0.00016042,             0.00016042,             0.00016042
                     87,                0.29548,                0.33106,                0.97456,                0.79333,                0.81204,                0.82492,                0.50002,                 1.4825,                0.99617,                 2.2525,             0.00015043,             0.00015043,             0.00015043
