                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9978,                 1.6416,                  1.484,                0.50296,                0.35577,                0.33806,                0.10557,                 1.9971,                 2.7659,                 3.6474,                0.06775,             0.00032576,             0.00032576
                      2,                0.84334,                 1.0909,                 1.3621,                 0.6333,                0.54808,                0.56272,                0.23274,                 1.8128,                 2.4125,                 2.5092,               0.034743,              0.0006525,              0.0006525
                      3,                0.79647,                 1.0648,                 1.3478,                0.76707,                0.72831,                 0.7707,                0.39333,                 1.5118,                 2.0114,                 2.2367,              0.0017302,             0.00097259,             0.00097259
                      4,                0.73786,                0.93401,                 1.2819,                0.81427,                0.66346,                0.76148,                0.37026,                  1.614,                 1.8337,                 2.4383,             0.00097001,             0.00097001,             0.00097001
                      5,                0.68041,                0.84751,                  1.226,                0.75386,                0.69207,                0.72456,                0.34803,                  1.498,                 1.7599,                 2.2991,             0.00097001,             0.00097001,             0.00097001
                      6,                0.64867,                0.79117,                 1.1966,                0.80912,                0.72596,                0.76079,                0.38763,                 1.5974,                 1.3266,                 2.4657,             0.00096002,             0.00096002,             0.00096002
                      7,                0.64887,                0.77623,                 1.2067,                0.78093,                0.70268,                 0.7505,                0.36275,                  1.628,                 1.2821,                  2.561,             0.00095003,             0.00095003,             0.00095003
                      8,                0.60711,                0.74147,                 1.1828,                0.83893,                0.73558,                0.79327,                0.43029,                 1.4363,                 1.1272,                 2.2058,             0.00094003,             0.00094003,             0.00094003
                      9,                0.58398,                0.66861,                 1.1538,                0.80394,                0.75481,                0.78883,                0.44961,                 1.4402,                 1.1281,                 2.1846,             0.00093003,             0.00093003,             0.00093003
                     10,                0.56832,                0.66081,                 1.1575,                0.79576,                0.76442,                0.77159,                0.39696,                  1.607,                  1.307,                 2.3993,             0.00092004,             0.00092004,             0.00092004
                     11,                0.57626,                0.64619,                 1.1505,                0.77127,                0.74574,                0.71742,                0.36139,                 1.6261,                 1.4023,                 2.4993,             0.00091005,             0.00091005,             0.00091005
                     12,                0.55458,                0.61267,                 1.1393,                0.87126,                0.70673,                0.77666,                 0.4119,                 1.5762,                 1.2815,                  2.281,             0.00090005,             0.00090005,             0.00090005
                     13,                0.55004,                0.62253,                 1.1316,                0.78453,                0.67788,                0.69468,                0.30103,                  1.936,                 1.7347,                 2.9744,             0.00089006,             0.00089006,             0.00089006
                     14,                0.53137,                0.58276,                 1.1202,                0.70441,                0.67788,                0.73559,                0.37515,                 1.6185,                 1.3128,                 2.2751,             0.00088006,             0.00088006,             0.00088006
