                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0506,                 1.6529,                 1.5236,                 0.5517,                0.55616,                0.52282,                0.20687,                 1.8655,                 2.7144,                 2.9373,             0.00066173,             0.00066173,             0.00066173
                      2,                0.89186,                 1.1298,                 1.3714,                 0.5382,                0.52885,                0.50047,                0.14863,                 2.4153,                 1.9194,                 3.6248,              0.0013021,              0.0013021,              0.0013021
                      3,                0.87652,                0.99159,                 1.3621,                0.41269,                0.60096,                0.40958,                0.13392,                 2.4086,                 2.0207,                 3.1487,              0.0019161,              0.0019161,              0.0019161
                      4,                0.85923,                 0.9209,                 1.3401,                0.39154,                0.40527,                0.31338,                0.08559,                 2.6135,                 2.5387,                 3.2224,              0.0018812,              0.0018812,              0.0018812
                      5,                0.81188,                 0.8718,                 1.3052,                0.32703,                0.27404,                0.17707,                0.05027,                 2.5682,                 2.7132,                 3.1715,              0.0018812,              0.0018812,              0.0018812
                      6,                  0.768,                 0.8205,                 1.2775,                0.64849,                0.69181,                0.66894,                0.25965,                 1.9891,                 1.5828,                 2.9531,              0.0018416,              0.0018416,              0.0018416
                      7,                0.73451,                0.77238,                 1.2658,                 0.6018,                0.55949,                0.59642,                0.25717,                 1.9251,                  1.701,                 2.7233,               0.001802,               0.001802,               0.001802
                      8,                0.69557,                0.70536,                 1.2265,                0.65579,                0.59537,                0.58659,                 0.2126,                 2.1466,                 1.6137,                 3.1461,              0.0017624,              0.0017624,              0.0017624
                      9,                0.69057,                0.71368,                 1.2205,                0.73234,                0.67088,                0.68469,                 0.3246,                  1.659,                  1.325,                 2.3702,              0.0017228,              0.0017228,              0.0017228
                     10,                0.68589,                0.70219,                 1.2183,                0.49525,                0.63942,                 0.5529,                0.22461,                 1.8731,                 1.5738,                 2.4379,              0.0016832,              0.0016832,              0.0016832
